time,open,high,low,close,tick_volume
2024-11-12 18:00:00,101.084,101.115,100.903,100.913,7194
2024-11-12 19:00:00,100.915,101.013,100.855,100.865,6579
2024-11-12 20:00:00,100.865,101.072,100.857,101.057,5373
2024-11-12 21:00:00,101.057,101.096,101.044,101.071,3576
2024-11-12 22:00:00,101.072,101.134,101.004,101.022,4360
2024-11-12 23:00:00,101.022,101.084,100.98,101.023,2497
2024-11-13 00:00:00,100.971,101.003,100.914,100.919,838
2024-11-13 01:00:00,100.923,100.987,100.86,100.983,2867
2024-11-13 02:00:00,100.987,101.08,100.835,101.072,5786
2024-11-13 03:00:00,101.072,101.196,101.007,101.059,7401
2024-11-13 04:00:00,101.06,101.174,100.989,101.167,6215
2024-11-13 05:00:00,101.168,101.199,101.118,101.139,4916
2024-11-13 06:00:00,101.14,101.227,101.112,101.206,3537
2024-11-13 07:00:00,101.206,101.223,101.074,101.202,4673
2024-11-13 08:00:00,101.2,101.284,101.144,101.18,6488
2024-11-13 09:00:00,101.177,101.212,101.059,101.169,4894
2024-11-13 10:00:00,101.161,101.215,101.078,101.128,5914
2024-11-13 11:00:00,101.128,101.218,101.073,101.181,5156
2024-11-13 12:00:00,101.182,101.19,101.061,101.124,4546
2024-11-13 13:00:00,101.126,101.146,101.023,101.062,4190
2024-11-13 14:00:00,101.065,101.123,101.034,101.065,5306
2024-11-13 15:00:00,101.066,101.182,100.865,100.913,9186
2024-11-13 16:00:00,100.913,100.924,100.581,100.635,10423
2024-11-13 17:00:00,100.632,100.761,100.458,100.728,10698
