time,open,high,low,close,tick_volume
2024-11-12 18:00:00,91.657,91.681,91.541,91.555,5699
2024-11-12 19:00:00,91.555,91.616,91.5,91.522,5013
2024-11-12 20:00:00,91.516,91.625,91.507,91.615,4109
2024-11-12 21:00:00,91.615,91.657,91.594,91.626,3129
2024-11-12 22:00:00,91.627,91.684,91.596,91.607,2857
2024-11-12 23:00:00,91.608,91.662,91.57,91.619,2058
2024-11-13 00:00:00,91.509,91.613,91.492,91.497,902
2024-11-13 01:00:00,91.502,91.598,91.487,91.592,1635
2024-11-13 02:00:00,91.592,91.721,91.564,91.706,4171
2024-11-13 03:00:00,91.706,91.844,91.668,91.692,5808
2024-11-13 04:00:00,91.696,91.762,91.619,91.749,3914
2024-11-13 05:00:00,91.751,91.794,91.703,91.759,2956
2024-11-13 06:00:00,91.759,91.837,91.736,91.807,2474
2024-11-13 07:00:00,91.807,91.842,91.699,91.821,3555
2024-11-13 08:00:00,91.819,91.892,91.817,91.862,4272
2024-11-13 09:00:00,91.861,91.936,91.785,91.882,4235
2024-11-13 10:00:00,91.883,91.944,91.837,91.87,4748
2024-11-13 11:00:00,91.87,91.91,91.828,91.89,4224
2024-11-13 12:00:00,91.889,91.9,91.774,91.832,3340
2024-11-13 13:00:00,91.832,91.855,91.76,91.823,3068
2024-11-13 14:00:00,91.822,91.865,91.784,91.818,4095
2024-11-13 15:00:00,91.821,91.919,91.662,91.732,7772
2024-11-13 16:00:00,91.731,91.736,91.377,91.408,8892
2024-11-13 17:00:00,91.402,91.474,91.27,91.457,9082
